sub,optimal_delayed_score,worry,percent_correct
5AD_thisExp_2023-05-28_12h16.10.170.csv,0.545833333,34,1
5PARTICIPANT_thisExp_2022-08-04_10h44.32.510.csv,0.670833333,36,1
5claire_thisExp_2023-05-29_10h48.40.380.csv,0.5,63,1
5PARTICIPANT_thisExp_2023-05-28_10h07.04.381.csv,0.483333333,40,1
5dc5da21d999de45a504651b_thisExp_2023-05-28_11h20.05.097.csv,0.620833333,74,1
55d22025cc2b18000c0b9d9c_thisExp_2023-05-28_10h07.02.505.csv,0.808333333,33,1
60c770c2798ff49897e4826a_thisExp_2023-05-28_10h06.59.843.csv,0.691666667,80,1
63ed0ffba76a3fb9dfe6dbdb_thisExp_2023-05-28_10h46.07.233.csv,0.6375,59,1
5PARTICIPANT_thisExp_2023-05-28_10h06.51.297.csv,0.683333333,24,1
57d5ab3a722df500017f3622_thisExp_2023-05-29_12h45.35.008.csv,0.483333333,24,1
5PARTICIPANT_thisExp_2023-05-29_10h22.54.035.csv,0.575,58,0.875
645cf9fc85bdf118416ed9ce_thisExp_2023-05-28_05h35.40.559.csv,0.45,33,1
5Ciara_thisExp_2023-05-29_10h31.10.745.csv,0.904166667,48,1
5f653cb18aad310a9ee7c32d_thisExp_2023-05-28_10h51.39.394.csv,0.616666667,77,1
5c5cad3e4ee81200018eafe2_thisExp_2023-05-28_10h16.58.231.csv,0.5125,17,1
62e234304cf51f62d5ee3e48_thisExp_2023-05-28_17h05.08.779.csv,0.733333333,69,0.875
5PARTICIPANT_thisExp_2023-05-28_10h15.26.696.csv,0.666666667,52,1
63d7c195a5fb49d5a97bf7d5_thisExp_2023-05-28_10h06.55.013.csv,0.5,40,1
5freelance_tester_thisExp_2022-08-04_08h54.16.691.csv,1,27,1
60f06a479c4f3ec0a536d40a_thisExp_2022-08-04_10h33.46.831.csv,0.454166667,73,1
5bf2f728bd9f150001f6cc42_thisExp_2023-05-28_10h12.40.055.csv,0.416666667,80,1
6000639d15e5f60b499d3e1f_thisExp_2023-05-29_10h34.54.284.csv,0.616666667,27,0.75
5PARTICIPANT_thisExp_2023-05-28_10h06.43.082.csv,0.933333333,42,1
5PARTICIPANT_thisExp_2023-05-28_14h22.20.042.csv,0.958333333,55,1
5cd5e34157a78e001c1bbf99_thisExp_2023-05-28_16h38.04.796.csv,0.808333333,53,1
644bdfbf6078442ff277a4bb_thisExp_2023-05-28_11h22.15.034.csv,0.479166667,40,1
5Prolific_ID568b76fa39a70e000c57b07a_thisExp_2023-05-28_10h06.45.752.csv,0.675,40,1
6159edec16e32e7efe2ae811_thisExp_2022-08-04_08h55.34.671.csv,0.508333333,67,1
5Ed_thisExp_2023-05-29_10h29.02.679.csv,0.458333333,62,0.875
5ec96e3609117f0a67231842_thisExp_2022-08-04_09h41.35.090.csv,0.5,34,1
5PARTICIPANT_thisExp_2023-05-28_14h22.50.475.csv,0.4875,31,1
5PARTICIPANT_thisExp_2023-05-28_17h01.06.127.csv,0.658333333,36,1
63d79fcd741f9cfb2f87152f_thisExp_2023-05-28_18h37.36.081.csv,0.708333333,23,1
63b80a8b220f924d975670bc_thisExp_2023-05-28_10h52.55.897.csv,0.725,75,1
63de88d74d63ce321662f029_thisExp_2023-05-28_10h08.53.631.csv,0.808333333,29,1
5bff1d05b5b8b600018d9300_thisExp_2023-05-29_10h28.13.891.csv,0.495833333,66,1
60fd05a3cf6e4c9348472e9d_thisExp_2023-05-29_21h31.10.820.csv,0.491666667,66,0.875
6083e6f895a0a89f8dde9ecd_thisExp_2022-08-05_13h11.50.091.csv,0.808333333,63,1
5PARTICIPANT_thisExp_2023-05-28_08h46.41.563.csv,0.5,48,1
5PARTICIPANT_thisExp_2023-05-28_10h06.51.297 2.csv,0.683333333,24,1
63174af7d57182f9bf90c094_thisExp_2023-05-28_11h10.39.074.csv,0.3,67,1
5d8507a6611c9700152f1126_thisExp_2023-05-29_10h27.04.145.csv,0.5,58,1
61269eaf037840c7f0f9727d_thisExp_2023-05-28_08h55.10.941.csv,0.616666667,72,1
644ac4fca1359a25ea5cea3f_thisExp_2023-05-29_10h35.54.478.csv,0.516666667,67,0.875
5fe602f729db954217db9aef_thisExp_2022-08-04_11h52.06.522.csv,0.829166667,29,1
630389e7772b100ba592cdee_thisExp_2023-05-29_10h30.38.726.csv,0.929166667,66,1
5e15d85bd62abeba42692ed3_thisExp_2023-05-29_11h49.57.107.csv,0.516666667,67,1
5d66b39acb411d00170f69d6_thisExp_2023-05-29_05h33.58.743.csv,0.508333333,43,1
63469b33c8cdbd6d3067c28b_thisExp_2023-05-28_10h06.48.896.csv,0.925,53,1
6441795624090301ddeba81e_thisExp_2023-05-28_10h53.09.313.csv,0.633333333,29,1
6160668abf9c1d7ddc705eae_thisExp_2023-05-28_08h39.29.284.csv,0.9375,49,1
5PARTICIPANT_thisExp_2023-05-28_10h06.48.012.csv,0.595833333,77,1
60de4cc94dfda4d9e1948e6d_thisExp_2023-05-28_11h16.07.599.csv,0.845833333,70,1
5PARTICIPANT_thisExp_2023-05-28_16h50.50.159.csv,0.633333333,75,1
5d68c8aa40524c00189e8ac2_thisExp_2023-05-28_10h59.13.522.csv,0.829166667,45,1
630cc9747cb664e8a03c29f0_thisExp_2023-05-28_13h51.14.155.csv,0.7625,35,0.875
5PARTICIPANT_thisExp_2023-05-28_10h06.11.804.csv,0.8,72,1
5a46d551b77a5000014a8ce9_thisExp_2023-05-28_10h08.07.337.csv,0.5,78,1
61268bfae35dcb011f6081b5_thisExp_2023-05-29_10h52.50.086.csv,0.520833333,63,0.875
5PARTICIPANT_thisExp_2023-05-28_10h07.04.580.csv,0.5125,41,1
5ee4a14b578f8a000b384376_thisExp_2023-05-28_10h44.28.602.csv,0.883333333,58,1
6102bbdba4dd279363094fca_thisExp_2023-05-28_10h07.16.264.csv,0.991666667,20,1
5PARTICIPANT_thisExp_2023-05-28_10h06.57.899.csv,0.5,75,1
5eb14b3c30bd5922f1fcc4f2_thisExp_2023-05-28_10h07.00.415.csv,0.641666667,65,1
5aafd9eff69e940001d88bf4_thisExp_2023-05-28_10h06.42.209.csv,0.833333333,51,1
5PARTICIPANT_thisExp_2023-05-28_14h21.30.046.csv,0.504166667,29,0.875
612f4e35a9ee7323933cd80f_thisExp_2023-05-29_11h38.09.689.csv,0.666666667,53,1
5e31a1526ef37a1879a94441_thisExp_2023-05-28_10h06.57.688.csv,0.633333333,68,1
5simi_thisExp_2023-05-29_10h29.19.901.csv,0.625,53,1
63d508e7cfc3204304a949e2_thisExp_2023-05-28_11h23.02.332.csv,1,42,1
5PARTICIPANT_thisExp_2023-05-28_17h15.15.803.csv,0.495833333,66,1
5ee5defbfe74a3000d106f51_thisExp_2023-05-28_10h41.42.283.csv,0.608333333,70,1
60d3136e74b1871646e72544_thisExp_2023-05-28_18h47.23.320.csv,0.516666667,54,1
5da6b2aca2860400146b8ace_thisExp_2023-05-28_10h07.02.754.csv,0.966666667,48,1
5b421b9ac2e3810001763252_thisExp_2023-05-28_11h40.22.618.csv,0.5625,60,1
5fbfffc4e214a60ab1b745fd_thisExp_2023-05-28_10h06.44.966.csv,0.5,50,1
63e61d24e1c77b4b584e879f_thisExp_2023-05-28_11h33.13.573.csv,0.404166667,52,1
5bdfaca767baae00013624fe_thisExp_2023-05-28_09h22.35.451.csv,0.975,59,1
5d7874252f037f0016637125_thisExp_2023-05-28_10h06.52.243.csv,0.720833333,20,1
54905775fdf99b7255546dfe_thisExp_2023-05-28_10h07.01.261.csv,0.541666667,27,1
60ddfb3db6a71ad9ba75e387_thisExp_2022-08-05_15h15.50.677.csv,0.804166667,36,0.875
612f987cfb1894ecd6c33759_thisExp_2022-08-05_12h40.30.173.csv,0.5125,60,1
5CA_thisExp_2023-05-29_10h29.45.408.csv,0.520833333,58,0.875
5ecc7b15ce3f4185e01acd04_thisExp_2022-08-04_10h34.25.176.csv,0.95,36,1
5PARTICIPANT_thisExp_2023-05-28_14h25.59.242.csv,0.716666667,72,1
6146f9458dadc743097fc24f_thisExp_2023-05-29_10h24.56.439.csv,0.470833333,47,0.875
60e85190b9cffd8fed0a064f_thisExp_2023-05-28_10h13.58.194.csv,0.466666667,62,1
6365805113952480bdeed7b7_thisExp_2023-05-28_10h07.55.071.csv,0.4125,18,1
6347200d8ded5172ec43e0bb_thisExp_2023-05-28_18h45.26.774.csv,0.5,53,1
5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,0.495833333,71,1
60fd05a3cf6e4c9348472e9d_thisExp_2023-05-29_21h31.10.820 2.csv,0.491666667,66,0.875
646dc9848e53ff1705d8c9c5_thisExp_2023-05-29_10h31.23.595.csv,0.691666667,49,1
55b899c5fdf99b7323bc60e0_thisExp_2023-05-26_10h40.41.056.csv,0.5,60,1
